News Organization,Tweet Text,Positive Sentiment,Negative Sentiment,Neutral Sentiment,Compound Sentiment,Time of Tweet
CBS,"RT @fifthpoesys: QUE PERFORMANCE MARAVILHOSA
#GRAMMYs",0.0,0.0,1.0,0.0,2018-01-29 02:40:57+00:00
CBS,RT @naptural_mae: I have so much admiration for Kesha #GRAMMYs,0.321,0.0,0.679,0.5829,2018-01-29 02:40:59+00:00
CBS,RT @KathyLynn904: That’s was absolutely beautiful and powerful thank you @KeshaRose and all the ladies who joined her unbelievable #GRAMMYS,0.419,0.0,0.581,0.8899,2018-01-29 02:45:57+00:00
CBS,RT if you're crying like @HaileeSteinfeld after that moving @KeshaRose + @cyndilauper + @Camila_Cabello +… https://t.co/9qnQrhpiXy,0.142,0.176,0.682,-0.1531,2018-01-29 02:49:24+00:00
CBS,That's what we like! @BrunoMars wins the #GRAMMY for Song of the Year. See all of The 60th Annual #GRAMMYs winners… https://t.co/op6rSMuOzv,0.245,0.0,0.755,0.7574,2018-01-29 03:02:43+00:00
CBS,RT @BlueBloods_CBS: Lookin' good @DonnieWahlberg 🤠 #GRAMMYs https://t.co/7FftMSU7Do,0.326,0.0,0.674,0.4404,2018-01-29 03:04:50+00:00
CBS,RT @FunnyManShaun: Elton John with the Liberace swag #GRAMMYs,0.0,0.0,1.0,0.0,2018-01-29 03:06:26+00:00
CBS,"RT @nictothemarie: wow
wow
wow
wow
wow
wow
wow
wow
@eltonjohn @mileycyrus
having a heart EXPLOSION
#grammys",0.792,0.0,0.208,0.9854,2018-01-29 03:06:30+00:00
CBS,Generations of icons come together on the #GRAMMY stage. See all of the performances from The 60th Annual #GRAMMYs… https://t.co/amGC0Lu4Di,0.0,0.0,1.0,0.0,2018-01-29 03:12:26+00:00
CBS,The #GRAMMYs is a family affair...or is it? https://t.co/ohPdzp8jIZ,0.0,0.0,1.0,0.0,2018-01-29 03:20:49+00:00
CBS,"Blue Ivy doesn't wanna miss a minute of the action. 🤫 

Watch The #GRAMMYs now on CBS and CBS All Access:… https://t.co/26zRlvLKgl",0.071,0.0,0.929,0.1139,2018-01-29 03:24:02+00:00
CBS,RT @AnnaKendrick47: Punish me with those vocals @BenSPLATT 😵 #GRAMMYs,0.0,0.298,0.702,-0.5267,2018-01-29 03:25:26+00:00
CBS,💃💃💃 https://t.co/VZB0QEbajw,0.0,0.0,1.0,0.0,2018-01-29 03:25:53+00:00
CBS,"RT @Jordan_Roth: And THAT is how it’s done, kids. #Patti #GRAMMYs",0.0,0.0,1.0,0.0,2018-01-29 03:27:04+00:00
CBS,CBS Stars @shemarmoore from @swatcbs and @TheRealEve from @TheTalkCBS charming the crowd at The 60th Annual #GRAMMYs https://t.co/HLnRBE2rFW,0.183,0.0,0.817,0.5859,2018-01-29 03:34:36+00:00
CBS,"Slay all day, @sza! #GRAMMYs https://t.co/h1oCVMZE55",0.0,0.0,1.0,0.0,2018-01-29 03:37:27+00:00
CBS,RT @CBSTweet: Cute family alert! @pink 💕 #GRAMMYs https://t.co/isveVC8aoJ,0.478,0.0,0.522,0.6696,2018-01-29 03:37:35+00:00
CBS,24K Magic is in the air at the 60th Annual #GRAMMYs! @BrunoMars wins Record Of The Year! See all of the winners her… https://t.co/jGaqsvQt7W,0.251,0.0,0.749,0.8118,2018-01-29 03:45:43+00:00
CBS,What was your favorite #GRAMMY moment from tonight? https://t.co/x3q4ZhltV9,0.273,0.0,0.727,0.4588,2018-01-29 03:46:27+00:00
CBS,RT @pawprintedzoe: Music is a beautiful thing #Grammys,0.394,0.0,0.606,0.5994,2018-01-29 03:49:19+00:00
CBS,"RT @TheSaraNoH: Thank you @RecordingAcad for helping to keep music in schools! 

#GRAMMYs",0.312,0.0,0.688,0.6114,2018-01-29 03:50:25+00:00
CBS,You don't want to miss a moment of The #GRAMMYs. Watch now on CBS and CBS All Access: https://t.co/rtZ7sSGFOC https://t.co/oVvgF0CNLr,0.073,0.062,0.864,0.0572,2018-01-29 03:53:06+00:00
CBS,"RT @CBSNews: .@HillaryClinton makes an appearance at #Grammys during a reading of ""Fire and Fury."" The book details President Trump's first…",0.0,0.112,0.888,-0.34,2018-01-29 03:55:20+00:00
CBS,"RT @CBSNews: ""My father, if you are watching this dad, I love you. Look at me, pop, look at me, I'm at the #Grammys right now!"" @BrunoMars…",0.152,0.0,0.848,0.6696,2018-01-29 03:55:24+00:00
CBS,That. Performance. Wow. #GRAMMYs https://t.co/rDg37rzQvn,0.487,0.0,0.513,0.5859,2018-01-29 03:58:49+00:00
CBS,Drippin' in finesse 🙌 @BrunoMars wins Album Of The Year at The #GRAMMYs! See all of the winners here:… https://t.co/BK4bF9ggSI,0.294,0.0,0.706,0.7959,2018-01-29 04:10:47+00:00
CBS,"It was real y'all. Congratulations to everyone who won and all who were nominated. Finally, thank you to everyone w… https://t.co/jqBkGTtEyM",0.359,0.0,0.641,0.8779,2018-01-29 04:12:46+00:00
CBS,We caught up with @imjmichaels on the #GRAMMYs red carpet and learned all about how @IBM is using Watson and AI to… https://t.co/sJpn44xPnV,0.0,0.0,1.0,0.0,2018-01-29 04:19:55+00:00
CBS,"Relive @LuisFonsi, @daddy_yankee, and @zuleyka_rivera's electric performance of 'Despacito' that lit up the… https://t.co/9m1mytX9VW",0.0,0.0,1.0,0.0,2018-01-29 05:34:44+00:00
CBS,See @U2's intense #GRAMMYs performance in front of the majestic Statue of Liberty: https://t.co/Y1ZhzDYPdt https://t.co/SOf9kpMHOq,0.266,0.0,0.734,0.5719,2018-01-29 06:15:02+00:00
CBS,"See @littlebigtown belt out a heartfelt version of their hit song 'Better Man,' written by @taylorswift13:… https://t.co/mQJZ4lIOtZ",0.314,0.0,0.686,0.7506,2018-01-29 07:01:01+00:00
CBS,Get ready to sing along as @eltonofficial and @MileyCyrus deliver an unforgettable rendition of the iconic song 'Ti… https://t.co/upVo9SZUCh,0.122,0.0,0.878,0.3612,2018-01-29 07:25:04+00:00
CBS,See who won big on Music's Biggest Night®️: https://t.co/yyb8bwMqEx #GRAMMYs https://t.co/OgV3UcK3jw,0.27,0.0,0.73,0.5719,2018-01-29 07:40:26+00:00
CBS,The stage was packed with star power from start to finish on Music's Biggest Night®! Catch up on all the live perfo… https://t.co/Mzqp82FiUS,0.0,0.0,1.0,0.0,2018-01-29 08:18:18+00:00
CBS,Music's biggest stars came together for a night of celebration and song at the The 60th Annual #GRAMMYs! Stream the… https://t.co/flFIflTQ5s,0.0,0.0,1.0,0.0,2018-01-29 12:00:03+00:00
CBS,"With his powerful single 'Pray,"" @samsmithworld captivated the #GRAMMYs crowd. Watch the full performance:… https://t.co/159qGVFyxW",0.293,0.0,0.707,0.6597,2018-01-29 13:00:01+00:00
CBS,Watch @BrunoMars and @iamcardib pull out all the stops at the #GRAMMYs for their fun and funky duet of 'Finesse.'… https://t.co/z1ZTosotw9,0.136,0.123,0.741,0.3182,2018-01-29 14:00:02+00:00
